link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,free_speed_raw,lanes,capacity,allowed_uses,toll,notes
0,East 6th Street,5591077,0,1,1,"LINESTRING (-111.9303126 33.4236793, -111.9302974 33.4237487, -111.9302893 33.4237753, -111.9302809 33.4238008, -111.9302683 33.4238287, -111.9302531 33.4238532, -111.9302353 33.4238761, -111.9302153 33.4238971, -111.9301901 33.4239166, -111.9301629 33.4239344, -111.9301342 33.4239491, -111.930105 33.4239619, -111.930075 33.4239741, -111.9299266 33.4240263, -111.9292474 33.4242503, -111.9290798 33.4242989)",1,141.11,residential,6,,,,,auto,,
1,East 6th Street,5591077,1,0,1,"LINESTRING (-111.9290798 33.4242989, -111.9292474 33.4242503, -111.9299266 33.4240263, -111.930075 33.4239741, -111.930105 33.4239619, -111.9301342 33.4239491, -111.9301629 33.4239344, -111.9301901 33.4239166, -111.9302153 33.4238971, -111.9302353 33.4238761, -111.9302531 33.4238532, -111.9302683 33.4238287, -111.9302809 33.4238008, -111.9302893 33.4237753, -111.9302974 33.4237487, -111.9303126 33.4236793)",1,141.11,residential,6,,,,,auto,,
2,East Jen Tilly Lane,5593228,2,3,1,"LINESTRING (-111.9242764 33.4118974, -111.9237971 33.4118946, -111.9236321 33.4118936, -111.9232523 33.4118914)",1,95.06,residential,6,40,25 mph,,,auto,,
3,East Jen Tilly Lane,5593228,3,2,1,"LINESTRING (-111.9232523 33.4118914, -111.9236321 33.4118936, -111.9237971 33.4118946, -111.9242764 33.4118974)",1,95.06,residential,6,40,25 mph,,,auto,,
4,South McAllister Avenue,5624529,4,5,1,"LINESTRING (-111.9288523 33.4180544, -111.9288521 33.417747, -111.9288571 33.4176455, -111.928875 33.417525, -111.9288928 33.4174421, -111.9289101 33.4173761, -111.9289519 33.4172679, -111.9290111 33.4171412, -111.9290658 33.4170466, -111.9291629 33.4169067, -111.9292636 33.4167865, -111.929412 33.4166399)",1,170.93,tertiary,5,40,25 mph,1,,auto,,
5,South McAllister Avenue,5624529,5,4,1,"LINESTRING (-111.929412 33.4166399, -111.9292636 33.4167865, -111.9291629 33.4169067, -111.9290658 33.4170466, -111.9290111 33.4171412, -111.9289519 33.4172679, -111.9289101 33.4173761, -111.9288928 33.4174421, -111.928875 33.417525, -111.9288571 33.4176455, -111.9288521 33.417747, -111.9288523 33.4180544)",1,170.93,tertiary,5,40,25 mph,1,,auto,,
6,South Packard Drive,5630444,1,6,1,"LINESTRING (-111.9290798 33.4242989, -111.9291226 33.424385, -111.9291911 33.4245463, -111.9292203 33.4246475, -111.9292367 33.424729, -111.929244 33.4248062, -111.9292506 33.4248952, -111.9292543 33.4249537, -111.9292564 33.4252977, -111.9292588 33.4256477, -111.9292613 33.4260085, -111.9292621 33.426115, -111.9292627 33.4261516, -111.9292732 33.4267326, -111.929284 33.4273261, -111.9292893 33.4279802, -111.9293056 33.4285499, -111.929306 33.4286668)",1,488.11,unclassified,20,,,,,auto,,
7,South Packard Drive,5630444,6,1,1,"LINESTRING (-111.929306 33.4286668, -111.9293056 33.4285499, -111.9292893 33.4279802, -111.929284 33.4273261, -111.9292732 33.4267326, -111.9292627 33.4261516, -111.9292621 33.426115, -111.9292613 33.4260085, -111.9292588 33.4256477, -111.9292564 33.4252977, -111.9292543 33.4249537, -111.9292506 33.4248952, -111.929244 33.4248062, -111.9292367 33.424729, -111.9292203 33.4246475, -111.9291911 33.4245463, -111.9291226 33.424385, -111.9290798 33.4242989)",1,488.11,unclassified,20,,,,,auto,,
8,South Forest Avenue,5640924,7,8,1,"LINESTRING (-111.936615 33.416205, -111.9366127 33.4161377, -111.9366121 33.4161007, -111.936606 33.4154179, -111.9366028 33.4150954, -111.9366013 33.4149437, -111.9365974 33.4148035, -111.9365984 33.414741)",1,162.80,residential,6,24,15 mph,,,auto,,
9,South Forest Avenue,5640924,9,7,1,"LINESTRING (-111.9366324 33.4174773, -111.9366283 33.4173869, -111.9366279 33.4173593, -111.936616 33.4164391, -111.9366153 33.4163183, -111.9366156 33.4162727, -111.936615 33.416205)",1,141.49,residential,6,24,15 mph,,,auto,,
10,South Forest Avenue,5640924,8,7,1,"LINESTRING (-111.9365984 33.414741, -111.9365974 33.4148035, -111.9366013 33.4149437, -111.9366028 33.4150954, -111.936606 33.4154179, -111.9366121 33.4161007, -111.9366127 33.4161377, -111.936615 33.416205)",1,162.80,residential,6,24,15 mph,,,auto,,
11,South Forest Avenue,5640924,7,9,1,"LINESTRING (-111.936615 33.416205, -111.9366156 33.4162727, -111.9366153 33.4163183, -111.936616 33.4164391, -111.9366279 33.4173593, -111.9366283 33.4173869, -111.9366324 33.4174773)",1,141.49,residential,6,24,15 mph,,,auto,,
12,East 10th Street,5643860,10,11,1,"LINESTRING (-111.9381322 33.4190867, -111.93819 33.4190773, -111.9385248 33.4190744, -111.9394786 33.4190668, -111.939769 33.4190666, -111.939803 33.4190672, -111.9398533 33.4190667)",1,159.84,residential,6,24,15 mph,,,auto,,
13,East 10th Street,5643860,11,10,1,"LINESTRING (-111.9398533 33.4190667, -111.939803 33.4190672, -111.939769 33.4190666, -111.9394786 33.4190668, -111.9385248 33.4190744, -111.93819 33.4190773, -111.9381322 33.4190867)",1,159.84,residential,6,24,15 mph,,,auto,,
14,South Myrtle Avenue,5658805,12,10,1,"LINESTRING (-111.938132 33.4205154, -111.9381258 33.4202962, -111.9381248 33.4202238, -111.9381226 33.4201018, -111.9381211 33.4199626, -111.9381172 33.4196844, -111.9381214 33.419134, -111.9381322 33.4190867)",1,158.97,residential,6,24,15 mph,,,auto,,
15,South Myrtle Avenue,5658805,13,12,1,"LINESTRING (-111.9381506 33.4218987, -111.938149 33.4218417, -111.938141 33.4212157, -111.938132 33.4205154)",1,153.83,residential,6,24,15 mph,,,auto,,
16,South Myrtle Avenue,5658805,10,12,1,"LINESTRING (-111.9381322 33.4190867, -111.9381214 33.419134, -111.9381172 33.4196844, -111.9381211 33.4199626, -111.9381226 33.4201018, -111.9381248 33.4202238, -111.9381258 33.4202962, -111.938132 33.4205154)",1,158.97,residential,6,24,15 mph,,,auto,,
17,South Myrtle Avenue,5658805,12,13,1,"LINESTRING (-111.938132 33.4205154, -111.938141 33.4212157, -111.938149 33.4218417, -111.9381506 33.4218987)",1,153.83,residential,6,24,15 mph,,,auto,,
18,East Tyler Street,5664425,14,15,1,"LINESTRING (-111.9289334 33.4202593, -111.928812 33.4202592, -111.9287742 33.4202597, -111.9281091 33.4202688, -111.928021 33.4202698, -111.9279077 33.4202707, -111.9278824 33.4202775)",1,97.67,residential,6,24,15 mph,,,auto,,
19,West 9th Street,5669184,16,17,1,"LINESTRING (-111.9391522 33.4204981, -111.9392023 33.420496, -111.939703 33.4204945, -111.9398241 33.4204922, -111.9398765 33.420491)",1,67.23,residential,6,24,15 mph,1,,auto,,
20,West 9th Street,5669184,17,16,1,"LINESTRING (-111.9398765 33.420491, -111.9398241 33.4204922, -111.939703 33.4204945, -111.9392023 33.420496, -111.9391522 33.4204981)",1,67.23,residential,6,24,15 mph,1,,auto,,
