name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
East 6th Street,1,5591077,1,2,1,141.16,1,,,residential,6,"LINESTRING (-111.9303126 33.4236793, -111.9302974 33.4237487, -111.9302893 33.4237753, -111.9302809 33.4238008, -111.9302683 33.4238287, -111.9302531 33.4238532, -111.9302353 33.4238761, -111.9302153 33.4238971, -111.9301901 33.4239166, -111.9301629 33.4239344, -111.9301342 33.4239491, -111.9301050 33.4239619, -111.9300750 33.4239741, -111.9299266 33.4240263, -111.9292474 33.4242503, -111.9290798 33.4242989)",auto,1,0,,
East 6th Street,2,5591077,2,1,1,141.16,1,,,residential,6,"LINESTRING (-111.9290798 33.4242989, -111.9292474 33.4242503, -111.9299266 33.4240263, -111.9300750 33.4239741, -111.9301050 33.4239619, -111.9301342 33.4239491, -111.9301629 33.4239344, -111.9301901 33.4239166, -111.9302153 33.4238971, -111.9302353 33.4238761, -111.9302531 33.4238532, -111.9302683 33.4238287, -111.9302809 33.4238008, -111.9302893 33.4237753, -111.9302974 33.4237487, -111.9303126 33.4236793)",auto,1,0,,
East Jen Tilly Lane,3,5593228,3,4,1,95.22,1,40,,residential,6,"LINESTRING (-111.9242764 33.4118974, -111.9237971 33.4118946, -111.9236321 33.4118936, -111.9232523 33.4118914)",auto,1,0,,
East Jen Tilly Lane,4,5593228,4,3,1,95.22,1,40,,residential,6,"LINESTRING (-111.9232523 33.4118914, -111.9236321 33.4118936, -111.9237971 33.4118946, -111.9242764 33.4118974)",auto,1,0,,
South McAllister Avenue,5,5624529,5,6,1,170.54,1,40,,tertiary,5,"LINESTRING (-111.9288523 33.4180544, -111.9288521 33.4177470, -111.9288571 33.4176455, -111.9288750 33.4175250, -111.9288928 33.4174421, -111.9289101 33.4173761, -111.9289519 33.4172679, -111.9290111 33.4171412, -111.9290658 33.4170466, -111.9291629 33.4169067, -111.9292636 33.4167865, -111.9294120 33.4166399)",auto,1,0,,
South McAllister Avenue,6,5624529,6,5,1,170.54,1,40,,tertiary,5,"LINESTRING (-111.9294120 33.4166399, -111.9292636 33.4167865, -111.9291629 33.4169067, -111.9290658 33.4170466, -111.9290111 33.4171412, -111.9289519 33.4172679, -111.9289101 33.4173761, -111.9288928 33.4174421, -111.9288750 33.4175250, -111.9288571 33.4176455, -111.9288521 33.4177470, -111.9288523 33.4180544)",auto,1,0,,
South Packard Drive,7,5630444,2,7,1,486.7,1,,,unclassified,15,"LINESTRING (-111.9290798 33.4242989, -111.9291226 33.4243850, -111.9291911 33.4245463, -111.9292203 33.4246475, -111.9292367 33.4247290, -111.9292440 33.4248062, -111.9292506 33.4248952, -111.9292543 33.4249537, -111.9292564 33.4252977, -111.9292588 33.4256477, -111.9292613 33.4260085, -111.9292621 33.4261150, -111.9292627 33.4261516, -111.9292732 33.4267326, -111.9292840 33.4273261, -111.9292893 33.4279802, -111.9293056 33.4285499, -111.9293060 33.4286668)",auto,1,0,,
South Packard Drive,8,5630444,7,2,1,486.7,1,,,unclassified,15,"LINESTRING (-111.9293060 33.4286668, -111.9293056 33.4285499, -111.9292893 33.4279802, -111.9292840 33.4273261, -111.9292732 33.4267326, -111.9292627 33.4261516, -111.9292621 33.4261150, -111.9292613 33.4260085, -111.9292588 33.4256477, -111.9292564 33.4252977, -111.9292543 33.4249537, -111.9292506 33.4248952, -111.9292440 33.4248062, -111.9292367 33.4247290, -111.9292203 33.4246475, -111.9291911 33.4245463, -111.9291226 33.4243850, -111.9290798 33.4242989)",auto,1,0,,
South Forest Avenue,9,5640924,8,9,1,141.07,1,24,,residential,6,"LINESTRING (-111.9366324 33.4174773, -111.9366283 33.4173869, -111.9366279 33.4173593, -111.9366160 33.4164391, -111.9366153 33.4163183, -111.9366156 33.4162727, -111.9366150 33.4162050)",auto,1,0,,
South Forest Avenue,10,5640924,9,8,1,141.07,1,24,,residential,6,"LINESTRING (-111.9366150 33.4162050, -111.9366156 33.4162727, -111.9366153 33.4163183, -111.9366160 33.4164391, -111.9366279 33.4173593, -111.9366283 33.4173869, -111.9366324 33.4174773)",auto,1,0,,
South Forest Avenue,11,5640924,9,10,1,162.32,1,24,,residential,6,"LINESTRING (-111.9366150 33.4162050, -111.9366127 33.4161377, -111.9366121 33.4161007, -111.9366060 33.4154179, -111.9366028 33.4150954, -111.9366013 33.4149437, -111.9365974 33.4148035, -111.9365984 33.4147410)",auto,1,0,,
South Forest Avenue,12,5640924,10,9,1,162.32,1,24,,residential,6,"LINESTRING (-111.9365984 33.4147410, -111.9365974 33.4148035, -111.9366013 33.4149437, -111.9366028 33.4150954, -111.9366060 33.4154179, -111.9366121 33.4161007, -111.9366127 33.4161377, -111.9366150 33.4162050)",auto,1,0,,
East 10th Street,13,5643860,11,12,1,160.12,1,24,,residential,6,"LINESTRING (-111.9381322 33.4190867, -111.9381900 33.4190773, -111.9385248 33.4190744, -111.9394786 33.4190668, -111.9397690 33.4190666, -111.9398030 33.4190672, -111.9398533 33.4190667)",auto,1,0,,
East 10th Street,14,5643860,12,11,1,160.12,1,24,,residential,6,"LINESTRING (-111.9398533 33.4190667, -111.9398030 33.4190672, -111.9397690 33.4190666, -111.9394786 33.4190668, -111.9385248 33.4190744, -111.9381900 33.4190773, -111.9381322 33.4190867)",auto,1,0,,
South Myrtle Avenue,15,5658805,13,14,1,153.37,1,24,,residential,6,"LINESTRING (-111.9381506 33.4218987, -111.9381490 33.4218417, -111.9381410 33.4212157, -111.9381320 33.4205154)",auto,1,0,,
South Myrtle Avenue,16,5658805,14,13,1,153.37,1,24,,residential,6,"LINESTRING (-111.9381320 33.4205154, -111.9381410 33.4212157, -111.9381490 33.4218417, -111.9381506 33.4218987)",auto,1,0,,
South Myrtle Avenue,17,5658805,14,11,1,158.5,1,24,,residential,6,"LINESTRING (-111.9381320 33.4205154, -111.9381258 33.4202962, -111.9381248 33.4202238, -111.9381226 33.4201018, -111.9381211 33.4199626, -111.9381172 33.4196844, -111.9381214 33.4191340, -111.9381322 33.4190867)",auto,1,0,,
South Myrtle Avenue,18,5658805,11,14,1,158.5,1,24,,residential,6,"LINESTRING (-111.9381322 33.4190867, -111.9381214 33.4191340, -111.9381172 33.4196844, -111.9381211 33.4199626, -111.9381226 33.4201018, -111.9381248 33.4202238, -111.9381258 33.4202962, -111.9381320 33.4205154)",auto,1,0,,
East Tyler Street,19,5664425,15,16,1,97.84,1,24,,residential,6,"LINESTRING (-111.9289334 33.4202593, -111.9288120 33.4202592, -111.9287742 33.4202597, -111.9281091 33.4202688, -111.9280210 33.4202698, -111.9279077 33.4202707, -111.9278824 33.4202775)",auto,1,0,,
East Tyler Street,20,5664425,16,15,1,97.84,1,24,,residential,6,"LINESTRING (-111.9278824 33.4202775, -111.9279077 33.4202707, -111.9280210 33.4202698, -111.9281091 33.4202688, -111.9287742 33.4202597, -111.9288120 33.4202592, -111.9289334 33.4202593)",auto,1,0,,
