name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,1,6106985023,,,,,,,-111.9303126,33.4236793,,,
,2,41529697,,,,,,,-111.9290798,33.4242989,,,
,3,5650675608,,,,,,,-111.9242764,33.4118974,,,
,4,41548521,,,,,,,-111.9232523,33.4118914,,,
,5,5201685464,,,,,,,-111.9288523,33.4180544,,,
,6,41654675,,,,,,,-111.929412,33.4166399,,,
,7,41736777,traffic_signals,,signal,,,,-111.929306,33.4286668,,,
,8,5333539971,,,,,,,-111.9366324,33.4174773,,,
,9,10270682090,,,,,,,-111.936615,33.416205,,,
,10,330683946,traffic_signals,,signal,,,,-111.9365984,33.414741,,,
,11,41995466,,,,,,,-111.9381322,33.4190867,,,
,12,2625359006,traffic_signals,,signal,,,,-111.9398533,33.4190667,,,
,13,2065989266,traffic_signals,,signal,,,,-111.9381506,33.4218987,,,
,14,3712803330,,,,,,,-111.938132,33.4205154,,,
,15,41800245,,,,,,,-111.9289334,33.4202593,,,
,16,5414658105,,,,,,,-111.9278824,33.4202775,,,
,17,10271040742,,,,,,,-111.9391522,33.4204981,,,
,18,2625359008,traffic_signals,,signal,,,,-111.9398765,33.420491,,,
,19,4716137952,,,,,,,-111.9314005,33.4183668,,,
,20,5280009872,traffic_signals,,signal,,,,-111.9288536,33.4184375,,,
,22,335589267,,,,,,,-111.930544,33.4115122,,,
,23,1501648933,traffic_signals,,signal,,,,-111.9254711,33.4193526,,,
,24,330689192,traffic_signals,,signal,,,,-111.9225191,33.4167595,,,
,25,1501649040,,,,,,,-111.930164,33.4230713,,,
,26,5201685470,,,,,,,-111.9294899,33.4227512,,,
,27,10647888727,traffic_signals,,signal,,,,-111.9349416,33.4254115,,,
,28,2941419921,traffic_signals,,signal,,,,-111.933769,33.4249658,,,
,29,330693619,,,,,,,-111.9312621,33.4233557,,,
,30,330693951,,,,,,,-111.9304115,33.4231876,,,
,31,330693678,traffic_signals,,signal,,,,-111.9321775,33.4242506,,,
,32,2941419922,traffic_signals,,signal,,,,-111.9334559,33.4250076,,,
,33,5201685473,,,,,,,-111.9339519,33.4251973,,,
,34,5618898812,,,,,,,-111.9228964,33.4220263,,,
,35,337822444,,,,,,,-111.9229026,33.4238435,,,
,36,5333560369,,,,,,,-111.9366801,33.4176179,,,
,37,9880292082,,,,,,,-111.9396414,33.4176196,,,
,38,5200239624,,,,,,,-111.9349556,33.4161131,,,
,39,42351327,,,,,,,-111.933266,33.4160668,,,
,40,2714317971,,,,,,,-111.9211588,33.4293611,,,
,41,2626242376,,,,,,,-111.9158721,33.4313526,,,
,42,10141144273,,,,,,,-111.917341,33.4293282,,,
,43,2626242375,,,,,,,-111.9165191,33.4304935,,,
,44,6283476043,,,,,,,-111.914737,33.4322288,,,
,46,5133355429,,,,,,,-111.9262149,33.4275095,,,
,47,9637510391,,,,,,,-111.9263865,33.4240145,,,
,48,2704829964,,,,,,,-111.9263882,33.4238834,,,
,49,8122988904,,,,,,,-111.9263824,33.4233419,,,
,50,2704829953,,,,,,,-111.9262287,33.4233394,,,
,51,2704829954,,,,,,,-111.9258887,33.4233401,,,
,52,10290583690,crossing,,,,,,-111.930762,33.4220419,,,
,53,5261052497,,,,,,,-111.9339953,33.4220122,,,
,54,4347879979,,,,,,,-111.926299,33.4195429,,,
,55,330691322,traffic_signals,,signal,,,,-111.9263055,33.4199832,,,
,56,330683944,traffic_signals,,signal,,,,-111.932805,33.4147645,,,
,57,4346575413,,,,,,,-111.9342173,33.4147571,,,
,58,5200239623,,,,,,,-111.9349567,33.4155062,,,
,59,4346575410,,,,,,,-111.931443,33.4146608,,,
,60,4346575415,,,,,,,-111.9300149,33.4147941,,,
,62,4346575409,,,,,,,-111.9335205,33.4146455,,,
,63,330683965,traffic_signals,,signal,,,,-111.932794,33.4146458,,,
,64,4346575414,,,,,,,-111.9322177,33.4147716,,,
,65,330683945,traffic_signals,,signal,,,,-111.934959,33.4147529,,,
,66,10290628421,,,,,,,-111.929145,33.4146674,,,
,67,5146893078,,,,,,,-111.927372,33.4146858,,,
,68,41546788,,,,,,,-111.927387,33.4220144,,,
,69,4346605164,,,,,,,-111.9271823,33.4220171,,,
,70,4346605161,,,,,,,-111.9295985,33.4220148,,,
,71,41714341,traffic_signals,,signal,,,,-111.928941,33.4220194,,,
,72,4346605163,,,,,,,-111.9285829,33.4220147,,,
,73,9973576681,,,,,,,-111.9269657,33.42202,,,
,74,9888948024,,,,,,,-111.9276681,33.4220143,,,
,75,10274641574,,,,,,,-111.9284316,33.4220121,,,
,76,5013817163,traffic_signals,,signal,,,,-111.917926,33.4292135,,,
,77,4346622265,,,,,,,-111.9099576,33.4290973,,,
,78,2714317961,,,,,,,-111.9126336,33.4293372,,,
,79,4346622269,,,,,,,-111.917438,33.4293305,,,
,80,4347900942,,,,,,,-111.9262882,33.4105131,,,
,81,4347900943,,,,,,,-111.9262942,33.4124964,,,
,82,4347879977,,,,,,,-111.9262955,33.4184244,,,
,83,4347879978,,,,,,,-111.9262944,33.4185822,,,
,84,2704829974,,,,,,,-111.9262833,33.4283177,,,
,85,5133355428,,,,,,,-111.9263688,33.4275117,,,
,86,41573982,traffic_signals,,signal,,,,-111.926296,33.4191375,,,
,87,1501648953,,,,,,,-111.9262989,33.4202366,,,
