node_id,zone_id,x_coord,y_coord,macro_node_id,macro_link_id,activity_type,is_boundary
100,,-111.9302598,33.4237445,1,,,
200,,-111.9291488,33.4242455,2,,,
201,,-111.9291734,33.4243052,2,,,
101,,-111.930334,33.423756,1,,,
300,,-111.9241906,33.4118653,3,,,
400,,-111.9233386,33.4118603,4,,,
401,,-111.9233381,33.4119235,4,,,
301,,-111.9241901,33.4119285,3,,,
500,,-111.9288899,33.4179822,5,,,
600,,-111.929385,33.4167153,6,,,
601,,-111.9293276,33.4166745,6,,,
501,,-111.9288146,33.4179823,5,,,
202,,-111.9290782,33.4243776,2,,,
700,,-111.9292681,33.4285948,7,,,
701,,-111.9293434,33.4285946,7,,,
203,,-111.9291477,33.4243534,2,,,
800,,-111.9366667,33.417404,8,,,
900,,-111.9366532,33.416277,9,,,
901,,-111.9365779,33.4162774,9,,,
801,,-111.9365915,33.4174064,8,,,
902,,-111.9366503,33.416132,9,,,
1000,,-111.9366353,33.4148135,10,,,
1001,,-111.93656,33.4148127,10,,,
903,,-111.936575,33.4161338,9,,,
1100,,-111.9382244,33.4191086,11,,,
1200,,-111.9397677,33.4190982,12,,,
1201,,-111.9397668,33.419035,12,,,
1101,,-111.93821,33.4190456,11,,,
1300,,-111.9381864,33.4218258,13,,,
1400,,-111.9381706,33.4205872,14,,,
1401,,-111.9380953,33.4205879,14,,,
1301,,-111.9381112,33.4218273,13,,,
1402,,-111.9381676,33.4204425,14,,,
1102,,-111.9381588,33.419164,11,,,
1103,,-111.9380836,33.419152,11,,,
1403,,-111.9380923,33.420444,14,,,
1500,,-111.9288474,33.4202277,15,,,
1600,,-111.9279554,33.4202388,16,,,
1601,,-111.9279789,33.4203017,16,,,
1501,,-111.9288473,33.4202908,15,,,
1700,,-111.9392401,33.4205275,17,,,
1800,,-111.9397915,33.4205244,18,,,
1801,,-111.9397895,33.4204613,18,,,
1701,,-111.9392363,33.4204643,17,,,
1900,,-111.9313137,33.4183366,19,,,
2000,,-111.9289379,33.4184027,20,,,
2001,,-111.9289413,33.4184658,20,,,
1901,,-111.9313151,33.4183997,19,,,
14400,,-111.9307031,33.4145937,144,,,
2200,,-111.9305882,33.411577,22,,,
2201,,-111.9305129,33.4115906,22,,,
14401,,-111.9306279,33.4145934,144,,,
2300,,-111.9254108,33.4193012,23,,,
2400,,-111.9225766,33.4168131,24,,,
2500,,-111.9300983,33.423015,25,,,
2600,,-111.9295824,33.422765,26,,,
2601,,-111.9295405,33.4228175,26,,,
2501,,-111.9300701,33.4230735,25,,,
2700,,-111.9348664,33.4253765,27,,,
2800,,-111.9338486,33.4249933,28,,,
2801,,-111.9336891,33.4249389,28,,,
2900,,-111.931263,33.4233562,29,,,
3000,,-111.9304905,33.4232163,30,,,
3100,,-111.9321163,33.4241999,31,,,
3101,,-111.9322391,33.424301,31,,,
3200,,-111.9333774,33.4249781,32,,,
3201,,-111.9335351,33.4250357,32,,,
3300,,-111.9338751,33.4251647,33,,,
3400,,-111.9228588,33.4220985,34,,,
3500,,-111.9228633,33.423772,35,,,
3501,,-111.9229386,33.4237707,35,,,
3401,,-111.9229341,33.4220984,34,,,
3600,,-111.9367579,33.4176467,36,,,
3700,,-111.9396403,33.4176196,37,,,
904,,-111.9365323,33.4161677,9,,,
3800,,-111.9350414,33.416081,38,,,
3801,,-111.9350419,33.4161442,38,,,
905,,-111.9365262,33.4162306,9,,,
3802,,-111.9348698,33.4160811,38,,,
3900,,-111.9333663,33.4160879,39,,,
3901,,-111.9332844,33.4161371,39,,,
3803,,-111.9348693,33.4161442,38,,,
4000,,-111.9211211,33.4294333,40,,,
4100,,-111.9159627,33.4313736,41,,,
4101,,-111.9159151,33.4314226,41,,,
4001,,-111.9211965,33.4294333,40,,,
4200,,-111.9172913,33.429395,42,,,
4300,,-111.9165313,33.4304154,43,,,
4301,,-111.9165958,33.430448,43,,,
4201,,-111.9173658,33.4294041,42,,,
4302,,-111.916442,33.4305385,43,,,
4102,,-111.9159016,33.4312774,41,,,
4103,,-111.915958,33.4313208,41,,,
4303,,-111.9165062,33.4305715,43,,,
4104,,-111.9157797,33.431367,41,,,
4400,,-111.9147412,33.4321574,44,,,
4401,,-111.9148211,33.4321818,44,,,
4105,,-111.915822,33.4314192,41,,,
14500,,-111.9262234,33.4246274,145,,,
4600,,-111.9262149,33.4275086,46,,,
4800,,-111.9263882,33.4238843,48,,,
4900,,-111.9263839,33.4234862,49,,,
5000,,-111.9262931,33.4233852,50,,,
5001,,-111.9261426,33.4233396,50,,,
5100,,-111.9259747,33.4233399,51,,,
5300,,-111.9338662,33.4220131,53,,,
5400,,-111.926207,33.4196882,54,,,
5500,,-111.9262093,33.4198399,55,,,
5501,,-111.9263789,33.4198562,55,,,
5401,,-111.9263762,33.4196684,54,,,
5600,,-111.9329341,33.4147638,56,,,
5700,,-111.9342162,33.4147571,57,,,
3804,,-111.9349555,33.4160409,38,,,
5800,,-111.9349567,33.4155071,58,,,
14402,,-111.9308155,33.4146635,144,,,
14403,,-111.9305111,33.414788,144,,,
6300,,-111.932923,33.414644,63,,,
14404,,-111.9307908,33.4147857,144,,,
6400,,-111.9322166,33.4147716,64,,,
6500,,-111.9348084,33.4147536,65,,,
5601,,-111.9326544,33.4147662,56,,,
6301,,-111.9326649,33.4146472,63,,,
5901,,-111.9314441,33.4146608,59,,,
6700,,-111.927501,33.414686,67,,,
6800,,-111.9272995,33.4219366,68,,,
6900,,-111.9272669,33.4219371,69,,,
6901,,-111.9272692,33.4220633,69,,,
6801,,-111.9273018,33.4220629,68,,,
7000,,-111.9294471,33.421953,70,,,
7100,,-111.9290916,33.4219562,71,,,
7101,,-111.92907,33.4220669,71,,,
7001,,-111.92947,33.4220633,70,,,
7102,,-111.9288128,33.4219703,71,,,
7200,,-111.9287128,33.421969,72,,,
7201,,-111.9287323,33.4220798,72,,,
7103,,-111.9287892,33.4220805,71,,,
6902,,-111.9270948,33.4219393,69,,,
7300,,-111.9270502,33.4219399,73,,,
7301,,-111.9270526,33.4220662,73,,,
6903,,-111.9270972,33.4220656,69,,,
7400,,-111.9277894,33.4220513,74,,,
7500,,-111.9283152,33.4220456,75,,,
7600,,-111.9177969,33.4292116,76,,,
7700,,-111.9100857,33.4290843,77,,,
7800,,-111.9127622,33.4293469,78,,,
4202,,-111.9172119,33.4293267,42,,,
4203,,-111.9173625,33.4293287,42,,,
7900,,-111.9174165,33.42933,79,,,
8000,,-111.9262134,33.4106396,80,,,
