link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,geometry,macro_node_id,macro_link_id,meso_link_id,cell_type,additional_cost,lane_no,mvmt_txt_id,ctrl_type,allowed_uses
0,0,1,1,7.14,1,,,residential,6,"LINESTRING (-111.9302598 33.4237445, -111.9302382 33.4238063)",,1,0,1,0,1,,auto
1,1,2,1,7.12,1,,,residential,6,"LINESTRING (-111.9302382 33.4238063, -111.9302004 33.4238621)",,1,0,1,0,1,,auto
2,2,3,1,7.11,1,,,residential,6,"LINESTRING (-111.9302004 33.4238621, -111.9301448 33.4239062)",,1,0,1,0,1,,auto
3,3,4,1,7.14,1,,,residential,6,"LINESTRING (-111.9301448 33.4239062, -111.9300779 33.4239378)",,1,0,1,0,1,,auto
4,4,5,1,7.14,1,,,residential,6,"LINESTRING (-111.9300779 33.4239378, -111.9300075 33.4239636)",,1,0,1,0,1,,auto
5,5,6,1,7.14,1,,,residential,6,"LINESTRING (-111.9300075 33.4239636, -111.9299367 33.4239885)",,1,0,1,0,1,,auto
6,6,7,1,7.14,1,,,residential,6,"LINESTRING (-111.9299367 33.4239885, -111.9298654 33.4240126)",,1,0,1,0,1,,auto
7,7,8,1,7.14,1,,,residential,6,"LINESTRING (-111.9298654 33.4240126, -111.9297938 33.4240362)",,1,0,1,0,1,,auto
8,8,9,1,7.14,1,,,residential,6,"LINESTRING (-111.9297938 33.4240362, -111.9297223 33.4240598)",,1,0,1,0,1,,auto
9,9,10,1,7.14,1,,,residential,6,"LINESTRING (-111.9297223 33.4240598, -111.9296508 33.4240833)",,1,0,1,0,1,,auto
10,10,11,1,7.14,1,,,residential,6,"LINESTRING (-111.9296508 33.4240833, -111.9295793 33.4241069)",,1,0,1,0,1,,auto
11,11,12,1,7.14,1,,,residential,6,"LINESTRING (-111.9295793 33.4241069, -111.9295078 33.4241305)",,1,0,1,0,1,,auto
12,12,13,1,7.14,1,,,residential,6,"LINESTRING (-111.9295078 33.4241305, -111.9294362 33.4241541)",,1,0,1,0,1,,auto
13,13,14,1,7.14,1,,,residential,6,"LINESTRING (-111.9294362 33.4241541, -111.9293647 33.4241777)",,1,0,1,0,1,,auto
14,14,15,1,7.14,1,,,residential,6,"LINESTRING (-111.9293647 33.4241777, -111.9292932 33.4242013)",,1,0,1,0,1,,auto
15,15,16,1,7.14,1,,,residential,6,"LINESTRING (-111.9292932 33.4242013, -111.9292215 33.4242244)",,1,0,1,0,1,,auto
16,16,17,1,7.14,1,,,residential,6,"LINESTRING (-111.9292215 33.4242244, -111.9291488 33.4242455)",,1,0,1,0,1,,auto
17,18,19,1,7.16,1,,,residential,6,"LINESTRING (-111.9291734 33.4243052, -111.9292462 33.4242840)",,2,1,1,0,1,,auto
18,19,20,1,7.16,1,,,residential,6,"LINESTRING (-111.9292462 33.4242840, -111.9293181 33.4242609)",,2,1,1,0,1,,auto
19,20,21,1,7.16,1,,,residential,6,"LINESTRING (-111.9293181 33.4242609, -111.9293898 33.4242373)",,2,1,1,0,1,,auto
20,21,22,1,7.16,1,,,residential,6,"LINESTRING (-111.9293898 33.4242373, -111.9294614 33.4242136)",,2,1,1,0,1,,auto
21,22,23,1,7.16,1,,,residential,6,"LINESTRING (-111.9294614 33.4242136, -111.9295331 33.4241900)",,2,1,1,0,1,,auto
22,23,24,1,7.16,1,,,residential,6,"LINESTRING (-111.9295331 33.4241900, -111.9296047 33.4241664)",,2,1,1,0,1,,auto
23,24,25,1,7.16,1,,,residential,6,"LINESTRING (-111.9296047 33.4241664, -111.9296764 33.4241427)",,2,1,1,0,1,,auto
24,25,26,1,7.16,1,,,residential,6,"LINESTRING (-111.9296764 33.4241427, -111.9297481 33.4241191)",,2,1,1,0,1,,auto
25,26,27,1,7.16,1,,,residential,6,"LINESTRING (-111.9297481 33.4241191, -111.9298197 33.4240955)",,2,1,1,0,1,,auto
26,27,28,1,7.16,1,,,residential,6,"LINESTRING (-111.9298197 33.4240955, -111.9298914 33.4240718)",,2,1,1,0,1,,auto
27,28,29,1,7.16,1,,,residential,6,"LINESTRING (-111.9298914 33.4240718, -111.9299628 33.4240478)",,2,1,1,0,1,,auto
28,29,30,1,7.16,1,,,residential,6,"LINESTRING (-111.9299628 33.4240478, -111.9300339 33.4240228)",,2,1,1,0,1,,auto
29,30,31,1,7.16,1,,,residential,6,"LINESTRING (-111.9300339 33.4240228, -111.9301045 33.4239972)",,2,1,1,0,1,,auto
30,31,32,1,7.15,1,,,residential,6,"LINESTRING (-111.9301045 33.4239972, -111.9301723 33.4239666)",,2,1,1,0,1,,auto
31,32,33,1,7.14,1,,,residential,6,"LINESTRING (-111.9301723 33.4239666, -111.9302326 33.4239267)",,2,1,1,0,1,,auto
32,33,34,1,7.13,1,,,residential,6,"LINESTRING (-111.9302326 33.4239267, -111.9302802 33.4238762)",,2,1,1,0,1,,auto
33,34,35,1,7.14,1,,,residential,6,"LINESTRING (-111.9302802 33.4238762, -111.9303133 33.4238181)",,2,1,1,0,1,,auto
34,35,36,1,7.15,1,,,residential,6,"LINESTRING (-111.9303133 33.4238181, -111.9303340 33.4237560)",,2,1,1,0,1,,auto
35,37,38,1,7.2,1,,40,residential,6,"LINESTRING (-111.9241906 33.4118653, -111.9241132 33.4118649)",,3,2,1,0,1,,auto
36,38,39,1,7.2,1,,40,residential,6,"LINESTRING (-111.9241132 33.4118649, -111.9240357 33.4118644)",,3,2,1,0,1,,auto
37,39,40,1,7.2,1,,40,residential,6,"LINESTRING (-111.9240357 33.4118644, -111.9239583 33.4118640)",,3,2,1,0,1,,auto
38,40,41,1,7.2,1,,40,residential,6,"LINESTRING (-111.9239583 33.4118640, -111.9238808 33.4118635)",,3,2,1,0,1,,auto
39,41,42,1,7.2,1,,40,residential,6,"LINESTRING (-111.9238808 33.4118635, -111.9238034 33.4118631)",,3,2,1,0,1,,auto
40,42,43,1,7.2,1,,40,residential,6,"LINESTRING (-111.9238034 33.4118631, -111.9237259 33.4118626)",,3,2,1,0,1,,auto
41,43,44,1,7.2,1,,40,residential,6,"LINESTRING (-111.9237259 33.4118626, -111.9236484 33.4118621)",,3,2,1,0,1,,auto
42,44,45,1,7.2,1,,40,residential,6,"LINESTRING (-111.9236484 33.4118621, -111.9235710 33.4118617)",,3,2,1,0,1,,auto
43,45,46,1,7.2,1,,40,residential,6,"LINESTRING (-111.9235710 33.4118617, -111.9234935 33.4118612)",,3,2,1,0,1,,auto
44,46,47,1,7.2,1,,40,residential,6,"LINESTRING (-111.9234935 33.4118612, -111.9234161 33.4118608)",,3,2,1,0,1,,auto
45,47,48,1,7.2,1,,40,residential,6,"LINESTRING (-111.9234161 33.4118608, -111.9233386 33.4118603)",,3,2,1,0,1,,auto
46,49,50,1,7.2,1,,40,residential,6,"LINESTRING (-111.9233381 33.4119235, -111.9234155 33.4119239)",,4,3,1,0,1,,auto
47,50,51,1,7.2,1,,40,residential,6,"LINESTRING (-111.9234155 33.4119239, -111.9234930 33.4119244)",,4,3,1,0,1,,auto
48,51,52,1,7.2,1,,40,residential,6,"LINESTRING (-111.9234930 33.4119244, -111.9235704 33.4119248)",,4,3,1,0,1,,auto
49,52,53,1,7.2,1,,40,residential,6,"LINESTRING (-111.9235704 33.4119248, -111.9236479 33.4119253)",,4,3,1,0,1,,auto
50,53,54,1,7.2,1,,40,residential,6,"LINESTRING (-111.9236479 33.4119253, -111.9237253 33.4119257)",,4,3,1,0,1,,auto
51,54,55,1,7.2,1,,40,residential,6,"LINESTRING (-111.9237253 33.4119257, -111.9238028 33.4119262)",,4,3,1,0,1,,auto
52,55,56,1,7.2,1,,40,residential,6,"LINESTRING (-111.9238028 33.4119262, -111.9238803 33.4119267)",,4,3,1,0,1,,auto
53,56,57,1,7.2,1,,40,residential,6,"LINESTRING (-111.9238803 33.4119267, -111.9239577 33.4119271)",,4,3,1,0,1,,auto
54,57,58,1,7.2,1,,40,residential,6,"LINESTRING (-111.9239577 33.4119271, -111.9240352 33.4119276)",,4,3,1,0,1,,auto
55,58,59,1,7.2,1,,40,residential,6,"LINESTRING (-111.9240352 33.4119276, -111.9241126 33.4119280)",,4,3,1,0,1,,auto
56,59,60,1,7.2,1,,40,residential,6,"LINESTRING (-111.9241126 33.4119280, -111.9241901 33.4119285)",,4,3,1,0,1,,auto
57,61,62,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9288899 33.4179822, -111.9288899 33.4179199)",,5,4,1,0,1,,auto
58,62,63,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9288899 33.4179199, -111.9288898 33.4178575)",,5,4,1,0,1,,auto
59,63,64,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9288898 33.4178575, -111.9288898 33.4177952)",,5,4,1,0,1,,auto
60,64,65,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9288898 33.4177952, -111.9288905 33.4177328)",,5,4,1,0,1,,auto
61,65,66,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9288905 33.4177328, -111.9288935 33.4176705)",,5,4,1,0,1,,auto
62,66,67,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9288935 33.4176705, -111.9289005 33.4176085)",,5,4,1,0,1,,auto
63,67,68,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9289005 33.4176085, -111.9289097 33.4175466)",,5,4,1,0,1,,auto
64,68,69,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9289097 33.4175466, -111.9289218 33.4174851)",,5,4,1,0,1,,auto
65,69,70,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9289218 33.4174851, -111.9289361 33.4174240)",,5,4,1,0,1,,auto
66,70,71,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9289361 33.4174240, -111.9289545 33.4173636)",,5,4,1,0,1,,auto
67,71,72,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9289545 33.4173636, -111.9289774 33.4173043)",,5,4,1,0,1,,auto
68,72,73,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9289774 33.4173043, -111.9290027 33.4172457)",,5,4,1,0,1,,auto
69,73,74,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9290027 33.4172457, -111.9290298 33.4171876)",,5,4,1,0,1,,auto
70,74,75,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9290298 33.4171876, -111.9290592 33.4171304)",,5,4,1,0,1,,auto
71,75,76,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9290592 33.4171304, -111.9290916 33.4170743)",,5,4,1,0,1,,auto
72,76,77,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9290916 33.4170743, -111.9291279 33.4170199)",,5,4,1,0,1,,auto
73,77,78,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9291279 33.4170199, -111.9291653 33.4169660)",,5,4,1,0,1,,auto
74,78,79,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9291653 33.4169660, -111.9292038 33.4169127)",,5,4,1,0,1,,auto
75,79,80,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9292038 33.4169127, -111.9292466 33.4168617)",,5,4,1,0,1,,auto
76,80,81,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9292466 33.4168617, -111.9292893 33.4168107)",,5,4,1,0,1,,auto
77,81,82,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9292893 33.4168107, -111.9293369 33.4167628)",,5,4,1,0,1,,auto
78,82,83,1,6.91,1,,40,tertiary,5,"LINESTRING (-111.9293369 33.4167628, -111.9293850 33.4167153)",,5,4,1,0,1,,auto
79,84,85,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9293276 33.4166745, -111.9292779 33.4167236)",,6,5,1,0,1,,auto
80,85,86,1,7.13,1,,40,tertiary,5,"LINESTRING (-111.9292779 33.4167236, -111.9292289 33.4167730)",,6,5,1,0,1,,auto
81,86,87,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9292289 33.4167730, -111.9291848 33.4168257)",,6,5,1,0,1,,auto
82,87,88,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9291848 33.4168257, -111.9291406 33.4168784)",,6,5,1,0,1,,auto
83,88,89,1,7.13,1,,40,tertiary,5,"LINESTRING (-111.9291406 33.4168784, -111.9291008 33.4169334)",,6,5,1,0,1,,auto
84,89,90,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9291008 33.4169334, -111.9290622 33.4169890)",,6,5,1,0,1,,auto
85,90,91,1,7.13,1,,40,tertiary,5,"LINESTRING (-111.9290622 33.4169890, -111.9290248 33.4170452)",,6,5,1,0,1,,auto
86,91,92,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9290248 33.4170452, -111.9289913 33.4171031)",,6,5,1,0,1,,auto
87,92,93,1,7.13,1,,40,tertiary,5,"LINESTRING (-111.9289913 33.4171031, -111.9289609 33.4171621)",,6,5,1,0,1,,auto
88,93,94,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9289609 33.4171621, -111.9289329 33.4172221)",,6,5,1,0,1,,auto
89,94,95,1,7.13,1,,40,tertiary,5,"LINESTRING (-111.9289329 33.4172221, -111.9289067 33.4172826)",,6,5,1,0,1,,auto
90,95,96,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9289067 33.4172826, -111.9288830 33.4173438)",,6,5,1,0,1,,auto
91,96,97,1,7.13,1,,40,tertiary,5,"LINESTRING (-111.9288830 33.4173438, -111.9288637 33.4174060)",,6,5,1,0,1,,auto
92,97,98,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9288637 33.4174060, -111.9288487 33.4174692)",,6,5,1,0,1,,auto
93,98,99,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9288487 33.4174692, -111.9288359 33.4175326)",,6,5,1,0,1,,auto
94,99,100,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9288359 33.4175326, -111.9288264 33.4175965)",,6,5,1,0,1,,auto
95,100,101,1,7.13,1,,40,tertiary,5,"LINESTRING (-111.9288264 33.4175965, -111.9288187 33.4176605)",,6,5,1,0,1,,auto
96,101,102,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9288187 33.4176605, -111.9288155 33.4177248)",,6,5,1,0,1,,auto
97,102,103,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9288155 33.4177248, -111.9288145 33.4177892)",,6,5,1,0,1,,auto
98,103,104,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9288145 33.4177892, -111.9288145 33.4178535)",,6,5,1,0,1,,auto
99,104,105,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9288145 33.4178535, -111.9288146 33.4179179)",,6,5,1,0,1,,auto
100,105,106,1,7.14,1,,40,tertiary,5,"LINESTRING (-111.9288146 33.4179179, -111.9288146 33.4179823)",,6,5,1,0,1,,auto
101,107,108,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9290782 33.4243776, -111.9291046 33.4244368)",,7,6,1,0,1,,auto
102,108,109,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9291046 33.4244368, -111.9291299 33.4244963)",,7,6,1,0,1,,auto
103,109,110,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9291299 33.4244963, -111.9291551 33.4245558)",,7,6,1,0,1,,auto
104,110,111,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9291551 33.4245558, -111.9291728 33.4246173)",,7,6,1,0,1,,auto
105,111,112,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9291728 33.4246173, -111.9291885 33.4246790)",,7,6,1,0,1,,auto
106,112,113,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9291885 33.4246790, -111.9292001 33.4247414)",,7,6,1,0,1,,auto
107,113,114,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292001 33.4247414, -111.9292061 33.4248044)",,7,6,1,0,1,,auto
108,114,115,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292061 33.4248044, -111.9292108 33.4248675)",,7,6,1,0,1,,auto
109,115,116,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292108 33.4248675, -111.9292151 33.4249305)",,7,6,1,0,1,,auto
110,116,117,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292151 33.4249305, -111.9292169 33.4249937)",,7,6,1,0,1,,auto
111,117,118,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292169 33.4249937, -111.9292173 33.4250569)",,7,6,1,0,1,,auto
112,118,119,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292173 33.4250569, -111.9292177 33.4251201)",,7,6,1,0,1,,auto
113,119,120,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292177 33.4251201, -111.9292181 33.4251832)",,7,6,1,0,1,,auto
114,120,121,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292181 33.4251832, -111.9292184 33.4252464)",,7,6,1,0,1,,auto
115,121,122,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292184 33.4252464, -111.9292188 33.4253096)",,7,6,1,0,1,,auto
116,122,123,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292188 33.4253096, -111.9292193 33.4253728)",,7,6,1,0,1,,auto
117,123,124,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292193 33.4253728, -111.9292197 33.4254360)",,7,6,1,0,1,,auto
118,124,125,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292197 33.4254360, -111.9292201 33.4254991)",,7,6,1,0,1,,auto
119,125,126,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292201 33.4254991, -111.9292206 33.4255623)",,7,6,1,0,1,,auto
120,126,127,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292206 33.4255623, -111.9292210 33.4256255)",,7,6,1,0,1,,auto
121,127,128,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292210 33.4256255, -111.9292214 33.4256887)",,7,6,1,0,1,,auto
122,128,129,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292214 33.4256887, -111.9292219 33.4257519)",,7,6,1,0,1,,auto
123,129,130,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292219 33.4257519, -111.9292223 33.4258151)",,7,6,1,0,1,,auto
124,130,131,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292223 33.4258151, -111.9292227 33.4258782)",,7,6,1,0,1,,auto
125,131,132,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292227 33.4258782, -111.9292232 33.4259414)",,7,6,1,0,1,,auto
126,132,133,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292232 33.4259414, -111.9292236 33.4260046)",,7,6,1,0,1,,auto
127,133,134,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292236 33.4260046, -111.9292241 33.4260678)",,7,6,1,0,1,,auto
128,134,135,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292241 33.4260678, -111.9292247 33.4261310)",,7,6,1,0,1,,auto
129,135,136,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292247 33.4261310, -111.9292258 33.4261941)",,7,6,1,0,1,,auto
130,136,137,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292258 33.4261941, -111.9292270 33.4262573)",,7,6,1,0,1,,auto
131,137,138,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292270 33.4262573, -111.9292281 33.4263205)",,7,6,1,0,1,,auto
132,138,139,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292281 33.4263205, -111.9292292 33.4263837)",,7,6,1,0,1,,auto
133,139,140,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292292 33.4263837, -111.9292304 33.4264468)",,7,6,1,0,1,,auto
134,140,141,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292304 33.4264468, -111.9292315 33.4265100)",,7,6,1,0,1,,auto
135,141,142,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292315 33.4265100, -111.9292327 33.4265732)",,7,6,1,0,1,,auto
136,142,143,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292327 33.4265732, -111.9292338 33.4266364)",,7,6,1,0,1,,auto
137,143,144,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292338 33.4266364, -111.9292349 33.4266995)",,7,6,1,0,1,,auto
138,144,145,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292349 33.4266995, -111.9292361 33.4267627)",,7,6,1,0,1,,auto
139,145,146,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292361 33.4267627, -111.9292372 33.4268259)",,7,6,1,0,1,,auto
140,146,147,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292372 33.4268259, -111.9292384 33.4268891)",,7,6,1,0,1,,auto
141,147,148,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292384 33.4268891, -111.9292395 33.4269522)",,7,6,1,0,1,,auto
142,148,149,1,7.0,1,,,unclassified,15,"LINESTRING (-111.9292395 33.4269522, -111.9292407 33.4270154)",,7,6,1,0,1,,auto
