node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
0,,-111.9302598,33.4237445,0,1,
1,,-111.9302382,33.4238063,0,1,
2,,-111.9302004,33.4238621,0,1,
3,,-111.9301448,33.4239062,0,1,
4,,-111.9300779,33.4239378,0,1,
5,,-111.9300075,33.4239636,0,1,
6,,-111.9299367,33.4239885,0,1,
7,,-111.9298654,33.4240126,0,1,
8,,-111.9297938,33.4240362,0,1,
9,,-111.9297223,33.4240598,0,1,
10,,-111.9296508,33.4240833,0,1,
11,,-111.9295793,33.4241069,0,1,
12,,-111.9295078,33.4241305,0,1,
13,,-111.9294362,33.4241541,0,1,
14,,-111.9293647,33.4241777,0,1,
15,,-111.9292932,33.4242013,0,1,
16,,-111.9292215,33.4242244,0,1,
17,,-111.9291488,33.4242455,0,1,
18,,-111.9291734,33.4243052,1,1,
19,,-111.9292462,33.424284,1,1,
20,,-111.9293181,33.4242609,1,1,
21,,-111.9293898,33.4242373,1,1,
22,,-111.9294614,33.4242136,1,1,
23,,-111.9295331,33.42419,1,1,
24,,-111.9296047,33.4241664,1,1,
25,,-111.9296764,33.4241427,1,1,
26,,-111.9297481,33.4241191,1,1,
27,,-111.9298197,33.4240955,1,1,
28,,-111.9298914,33.4240718,1,1,
29,,-111.9299628,33.4240478,1,1,
30,,-111.9300339,33.4240228,1,1,
31,,-111.9301045,33.4239972,1,1,
32,,-111.9301723,33.4239666,1,1,
33,,-111.9302326,33.4239267,1,1,
34,,-111.9302802,33.4238762,1,1,
35,,-111.9303133,33.4238181,1,1,
36,,-111.930334,33.423756,1,1,
37,,-111.9241906,33.4118653,2,1,
38,,-111.9241132,33.4118649,2,1,
39,,-111.9240357,33.4118644,2,1,
40,,-111.9239583,33.411864,2,1,
41,,-111.9238808,33.4118635,2,1,
42,,-111.9238034,33.4118631,2,1,
43,,-111.9237259,33.4118626,2,1,
44,,-111.9236484,33.4118621,2,1,
45,,-111.923571,33.4118617,2,1,
46,,-111.9234935,33.4118612,2,1,
47,,-111.9234161,33.4118608,2,1,
48,,-111.9233386,33.4118603,2,1,
49,,-111.9233381,33.4119235,3,1,
50,,-111.9234155,33.4119239,3,1,
51,,-111.923493,33.4119244,3,1,
52,,-111.9235704,33.4119248,3,1,
53,,-111.9236479,33.4119253,3,1,
54,,-111.9237253,33.4119257,3,1,
55,,-111.9238028,33.4119262,3,1,
56,,-111.9238803,33.4119267,3,1,
57,,-111.9239577,33.4119271,3,1,
58,,-111.9240352,33.4119276,3,1,
59,,-111.9241126,33.411928,3,1,
60,,-111.9241901,33.4119285,3,1,
61,,-111.9288899,33.4179822,4,1,
62,,-111.9288899,33.4179199,4,1,
63,,-111.9288898,33.4178575,4,1,
64,,-111.9288898,33.4177952,4,1,
65,,-111.9288905,33.4177328,4,1,
66,,-111.9288935,33.4176705,4,1,
67,,-111.9289005,33.4176085,4,1,
68,,-111.9289097,33.4175466,4,1,
69,,-111.9289218,33.4174851,4,1,
70,,-111.9289361,33.417424,4,1,
71,,-111.9289545,33.4173636,4,1,
72,,-111.9289774,33.4173043,4,1,
73,,-111.9290027,33.4172457,4,1,
74,,-111.9290298,33.4171876,4,1,
75,,-111.9290592,33.4171304,4,1,
76,,-111.9290916,33.4170743,4,1,
77,,-111.9291279,33.4170199,4,1,
78,,-111.9291653,33.416966,4,1,
79,,-111.9292038,33.4169127,4,1,
80,,-111.9292466,33.4168617,4,1,
81,,-111.9292893,33.4168107,4,1,
82,,-111.9293369,33.4167628,4,1,
83,,-111.929385,33.4167153,4,1,
84,,-111.9293276,33.4166745,5,1,
85,,-111.9292779,33.4167236,5,1,
86,,-111.9292289,33.416773,5,1,
87,,-111.9291848,33.4168257,5,1,
88,,-111.9291406,33.4168784,5,1,
89,,-111.9291008,33.4169334,5,1,
90,,-111.9290622,33.416989,5,1,
91,,-111.9290248,33.4170452,5,1,
92,,-111.9289913,33.4171031,5,1,
93,,-111.9289609,33.4171621,5,1,
94,,-111.9289329,33.4172221,5,1,
95,,-111.9289067,33.4172826,5,1,
96,,-111.928883,33.4173438,5,1,
97,,-111.9288637,33.417406,5,1,
98,,-111.9288487,33.4174692,5,1,
99,,-111.9288359,33.4175326,5,1,
100,,-111.9288264,33.4175965,5,1,
101,,-111.9288187,33.4176605,5,1,
102,,-111.9288155,33.4177248,5,1,
103,,-111.9288145,33.4177892,5,1,
104,,-111.9288145,33.4178535,5,1,
105,,-111.9288146,33.4179179,5,1,
106,,-111.9288146,33.4179823,5,1,
107,,-111.9290782,33.4243776,6,1,
108,,-111.9291046,33.4244368,6,1,
109,,-111.9291299,33.4244963,6,1,
110,,-111.9291551,33.4245558,6,1,
111,,-111.9291728,33.4246173,6,1,
112,,-111.9291885,33.424679,6,1,
113,,-111.9292001,33.4247414,6,1,
114,,-111.9292061,33.4248044,6,1,
