name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,0,6106985023,,-111.930313,33.423679,,,,,
,1,41529697,,-111.929080,33.424299,,,,,
,2,5650675608,,-111.924276,33.411897,,,,,
,3,41548521,,-111.923252,33.411891,,,,,
,4,5201685464,,-111.928852,33.418054,,,,,
,5,41654675,,-111.929412,33.416640,,,,,
,6,41736777,signal,-111.929306,33.428667,,,,,
,7,10270682090,,-111.936615,33.416205,,,,,
,8,330683946,signal,-111.936598,33.414741,,,,,
,9,5333539971,,-111.936632,33.417477,,,,,
,10,41995466,,-111.938132,33.419087,,,,,
,11,2625359006,signal,-111.939853,33.419067,,,,,
,12,3712803330,,-111.938132,33.420515,,,,,
,13,2065989266,signal,-111.938151,33.421899,,,,,
,14,41800245,,-111.928933,33.420259,,,,,
,15,5414658105,,-111.927882,33.420277,,,,,
,16,10271040742,,-111.939152,33.420498,,,,,
,17,2625359008,signal,-111.939876,33.420491,,,,,
,18,4716137952,,-111.931400,33.418367,,,,,
,19,5280009872,signal,-111.928854,33.418438,,,,,
,20,330683967,signal,-111.930665,33.414666,,,,,
,21,335589267,,-111.930544,33.411512,,,,,
,22,1501648933,signal,-111.925471,33.419353,,,,,
,23,330689192,signal,-111.922519,33.416759,,,,,
,24,1501649040,,-111.930164,33.423071,,,,,
,25,5201685470,,-111.929490,33.422751,,,,,
,26,2941419921,signal,-111.933769,33.424966,,,,,
,27,330693619,,-111.931262,33.423356,,,,,
,28,10647888727,signal,-111.934942,33.425412,,,,,
,29,2941419922,signal,-111.933456,33.425008,,,,,
,30,5201685473,,-111.933952,33.425197,,,,,
,31,330693951,,-111.930412,33.423188,,,,,
,32,330693678,signal,-111.932177,33.424251,,,,,
,33,5618898812,,-111.922896,33.422026,,,,,
,34,337822444,,-111.922903,33.423843,,,,,
,35,5333560369,,-111.936680,33.417618,,,,,
,36,9880292082,,-111.939641,33.417620,,,,,
,37,5200239624,,-111.934956,33.416113,,,,,
,38,42351327,,-111.933266,33.416067,,,,,
,39,2714317971,,-111.921159,33.429361,,,,,
,40,2626242376,,-111.915872,33.431353,,,,,
,41,6283476041,,-111.915928,33.431301,,,,,
,42,6283476042,,-111.915778,33.431406,,,,,
,43,8119660262,,-111.914751,33.432192,,,,,
,44,2626242375,,-111.916519,33.430493,,,,,
,45,6283476039,,-111.917190,33.429559,,,,,
,46,10141144273,,-111.917341,33.429328,,,,,
,47,6283476043,,-111.914737,33.432229,,,,,
,48,41529701,signal,-111.926223,33.424501,,,,,
,49,5133355429,,-111.926215,33.427509,,,,,
,50,2704829964,,-111.926388,33.423883,,,,,
,51,8122988904,,-111.926382,33.423342,,,,,
,52,9637510391,,-111.926387,33.424014,,,,,
