name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
Business Administration C Wing,0,28821973,,university,,,,"POLYGON ((-111.93385 33.4168041, -111.9335526 33.4165565, -111.9338456 33.4163036, -111.9341477 33.4165515, -111.9341234 33.4165756, -111.9340868 33.4166037, -111.9339178 33.416744, -111.9339223 33.416777, -111.9339 33.4167598, -111.93385 33.4168041))","POINT (-111.93384956107488 33.41655406453744)",,
Education Lecture Hall,1,28822160,,university,,,,"POLYGON ((-111.9377305 33.4178018, -111.9378583 33.4178009, -111.9379793 33.4178001, -111.9379814 33.41802, -111.9379251 33.4180204, -111.9379245 33.4180519, -111.9379242 33.4180782, -111.93779 33.418079, -111.9377895 33.4180221, -111.9377326 33.4180225, -111.9377305 33.4178018))","POINT (-111.9378560351988 33.417928252649624)",,
Payne Hall,2,28822195,,university,,,,"POLYGON ((-111.936783 33.4190167, -111.936781 33.4187533, -111.9372318 33.4187509, -111.9372553 33.4187508, -111.9372906 33.4187506, -111.937301 33.4187506, -111.937727 33.4187484, -111.9377273 33.4189963, -111.937729 33.4190118, -111.936783 33.4190167))","POINT (-111.93725459531429 33.41888250936721)",,
Music Building,3,28822215,,yes,,,,"POLYGON ((-111.9385157 33.4177807, -111.9390281 33.4177757, -111.9395369 33.4177714, -111.939536 33.417783, -111.9395368 33.4177933, -111.9395074 33.4177956, -111.9395075 33.4178457, -111.9395377 33.4178453, -111.9395427 33.4179745, -111.9395399 33.418327, -111.9394932 33.4183276, -111.9394927 33.4183155, -111.939091 33.4183177, -111.9390869 33.4181458, -111.9389652 33.4181495, -111.9389488 33.4181826, -111.9389134 33.4182236, -111.9388756 33.4182476, -111.9388342 33.4182639, -111.9387928 33.4182735, -111.9387628 33.4182769, -111.9387454 33.4182768, -111.9387301 33.4182768, -111.9387329 33.4183552, -111.9386317 33.4183566, -111.9384363 33.4181932, -111.9384385 33.4181104, -111.9385275 33.4181088, -111.9385335 33.4180564, -111.9385485 33.4180105, -111.9385791 33.4179723, -111.9386273 33.4179334, -111.9386828 33.4179109, -111.9387447 33.4178983, -111.9388209 33.4179065, -111.9388749 33.4179273, -111.9389209 33.417957, -111.9389495 33.4179861, -111.9389685 33.4180196, -111.9390288 33.4180186, -111.9390819 33.4180186, -111.9390823 33.41786, -111.9385148 33.4178612, -111.9385158 33.4178079, -111.9385157 33.4177807))","POINT (-111.93904619331698 33.41804992284265)",,
10th St. Parking Structure,4,28822327,,yes,parking,,,"POLYGON ((-111.9376005 33.4197408, -111.9376016 33.4202251, -111.9376036 33.4206648, -111.9379449 33.420664, -111.9379436 33.4202982, -111.937943 33.4202245, -111.9379427 33.4201009, -111.937942 33.41974, -111.9376005 33.4197408))","POINT (-111.9377725162023 33.42020239958948)",,
Stauffer Comm.,5,28822362,,yes,,,,"POLYGON ((-111.9367272 33.4197035, -111.9368956 33.419702, -111.9369776 33.4197028, -111.9369764 33.4197152, -111.9370373 33.4197147, -111.9370363 33.4196388, -111.9375131 33.4196345, -111.9375182 33.4200359, -111.9370475 33.42004, -111.9370473 33.4200239, -111.9369784 33.4200245, -111.9369788 33.420063, -111.9367317 33.4200652, -111.9367272 33.4197035))","POINT (-111.93713353879252 33.41985303971734)",,
Neeb Hall,6,28822368,,university,,,,"POLYGON ((-111.9368244 33.4201871, -111.9369771 33.4201864, -111.9370356 33.4202945, -111.9370399 33.4204194, -111.9370134 33.42043, -111.9370052 33.4204482, -111.9369371 33.4204528, -111.9369314 33.4204337, -111.9368785 33.4204352, -111.9368698 33.4204524, -111.9367991 33.4204534, -111.936792 33.4204342, -111.936766 33.4204272, -111.9367669 33.4203073, -111.9368244 33.4201871))","POINT (-111.9369018917017 33.420325030635844)",,
Art Building,7,28822379,,university,,,,"POLYGON ((-111.9371399 33.420346, -111.9375358 33.4203457, -111.9375359 33.420444, -111.9375165 33.420444, -111.9375165 33.4205087, -111.9375397 33.4205087, -111.9375398 33.4206628, -111.9371416 33.4206629, -111.9371416 33.4205211, -111.9371574 33.4205211, -111.9371573 33.4204507, -111.93714 33.4204507, -111.9371399 33.420346))","POINT (-111.93733923716138 33.42050504903586)",,
Art Warehouse,8,28822381,,university,,,,"POLYGON ((-111.9376052 33.420781, -111.9376185 33.4207809, -111.9376181 33.4207235, -111.9380096 33.4207215, -111.9380099 33.4208487, -111.9380128 33.4211554, -111.9376204 33.4211574, -111.9376198 33.421069, -111.9378842 33.4210677, -111.9378827 33.4208505, -111.9376057 33.4208519, -111.9376052 33.420781))","POINT (-111.93784556225513 33.42092833967487)",,
Tower Center,9,28822436,,yes,,,,"POLYGON ((-111.9377119 33.4213923, -111.937545 33.4213932, -111.9375446 33.4213522, -111.9374846 33.4213526, -111.937485 33.4213978, -111.9374464 33.4213981, -111.9374495 33.4217929, -111.9376228 33.4217919, -111.9376202 33.4214738, -111.9377126 33.4214733, -111.9377119 33.4213923))","POINT (-111.93754654880195 33.42157126865772)",,
